group,any_search_results,session_length
a,True,147.0
a,True,480.0
a,True,22.0
b,True,0.0
a,True,19.0
a,True,473.0
a,True,862.0
a,True,71.0
b,False,0.0
b,True,0.0
b,False,0.0
b,True,0.0
b,True,0.0
a,True,379.0
b,False,0.0
b,True,0.0
a,True,190.0
b,True,500.0
b,True,0.0
b,True,47.0
a,True,66.0
b,True,426.0
b,True,0.0
b,True,0.0
b,False,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,False,0.0
b,True,93.0
a,False,41.0
b,True,0.0
b,True,24.0
b,True,6.0
b,True,0.0
a,True,424.0
b,False,12.0
a,True,9.0
a,True,601.0
a,True,106.0
a,True,172.0
b,True,0.0
a,True,152.0
b,True,0.0
a,True,195.0
b,True,11.0
a,True,102.0
b,False,0.0
b,True,0.0
a,True,447.0
a,True,76.0
a,True,31.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,281.0
b,False,0.0
b,True,0.0
a,True,132.0
a,True,488.0
a,True,442.0
b,True,0.0
b,False,0.0
b,True,0.0
b,True,0.0
a,True,35.0
b,False,0.0
a,True,294.0
a,True,107.0
a,True,268.0
b,True,158.0
b,True,0.0
a,True,247.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,71.0
b,True,0.0
b,False,0.0
a,True,24.0
b,True,0.0
a,True,55.0
a,True,90.0
a,True,13.0
b,True,0.0
b,True,516.0
b,True,0.0
a,True,63.0
a,True,424.0
a,True,72.0
b,True,0.0
a,True,6.0
a,True,906.0
b,False,0.0
a,True,75509.0
b,True,242.0
a,True,42.0
a,True,466.0
b,False,0.0
b,True,94.0
b,True,0.0
b,False,0.0
b,False,15.0
b,True,0.0
b,True,0.0
a,True,23.0
a,True,21.0
a,True,470.0
b,True,368.0
b,True,251.0
b,True,8.0
b,True,0.0
a,True,50.0
a,True,44.0
b,True,0.0
a,True,11.0
b,True,0.0
a,True,31.0
b,True,0.0
b,True,1.0
b,True,0.0
a,True,422.0
b,True,0.0
b,True,0.0
b,True,439.0
b,True,9.0
b,False,0.0
b,True,0.0
b,True,0.0
b,True,33.0
b,False,0.0
a,True,65.0
a,True,166.0
b,True,0.0
a,True,5.0
a,True,81.0
b,True,4.0
b,True,0.0
a,False,40.0
b,True,9.0
a,True,25.0
b,True,7.0
b,True,0.0
b,True,0.0
a,True,1027.0
b,True,44.0
b,True,0.0
a,True,234.0
b,True,0.0
a,True,113.0
b,True,0.0
b,False,0.0
a,True,45.0
a,True,65.0
b,False,0.0
b,True,0.0
b,True,260.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,5.0
b,True,16.0
a,True,174.0
a,True,469.0
a,True,12.0
b,True,7.0
b,True,20.0
a,True,359.0
b,True,578.0
b,True,96.0
b,True,0.0
a,True,87.0
b,True,0.0
b,True,161.0
b,True,0.0
b,True,0.0
b,False,0.0
a,True,39.0
a,True,15.0
b,True,0.0
b,True,0.0
b,True,436.0
b,False,0.0
b,True,0.0
a,True,779.0
a,True,134.0
b,True,0.0
a,True,481.0
b,False,0.0
a,True,162.0
b,True,0.0
a,True,116.0
b,True,0.0
a,True,361.0
a,True,306.0
b,True,423.0
a,True,116.0
a,True,444.0
b,False,0.0
a,True,29.0
b,True,0.0
a,True,122.0
a,False,21.0
b,True,0.0
a,True,272.0
b,True,1.0
a,True,594.0
a,True,9.0
b,False,0.0
b,True,0.0
b,True,24.0
a,True,449.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,24.0
b,False,0.0
b,True,0.0
b,False,0.0
a,True,185.0
b,False,0.0
b,True,0.0
a,True,424.0
b,True,15.0
a,False,57.0
b,True,232.0
b,True,0.0
a,True,8.0
b,True,16.0
a,True,172.0
b,True,431.0
b,False,0.0
b,False,0.0
b,True,0.0
b,True,0.0
a,True,174.0
b,False,0.0
b,False,0.0
a,True,82.0
a,True,290.0
b,True,0.0
b,False,0.0
b,True,4.0
b,True,0.0
a,True,620.0
a,True,427.0
b,True,154.0
a,True,115.0
b,True,0.0
a,True,215.0
b,True,5.0
a,True,139.0
a,True,239.0
a,True,343.0
a,True,114.0
b,True,0.0
a,True,222.0
b,False,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,False,0.0
b,False,0.0
b,True,0.0
a,True,219.0
b,True,0.0
b,True,0.0
a,True,651.0
a,True,692.0
b,False,0.0
a,True,20.0
a,True,673.0
a,True,933.0
a,True,425.0
b,True,0.0
a,False,724.0
b,True,0.0
a,True,423.0
a,False,5.0
a,True,379.0
b,True,428.0
a,True,474.0
b,True,432.0
a,True,197.0
a,True,473.0
b,True,0.0
b,False,7.0
a,True,206.0
b,True,44.0
b,False,0.0
b,True,0.0
b,False,0.0
a,True,42.0
a,True,542.0
b,True,68.0
a,True,4.0
b,False,0.0
b,True,124.0
b,True,0.0
a,True,13.0
a,True,20.0
a,True,6.0
a,True,479.0
b,True,0.0
b,True,0.0
a,True,21.0
b,False,20.0
b,True,0.0
b,True,0.0
a,True,736.0
b,True,0.0
b,True,0.0
a,True,147.0
a,True,81.0
b,True,0.0
b,False,0.0
a,True,122.0
a,True,431.0
a,True,114.0
b,False,0.0
a,True,150.0
a,True,977.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,False,0.0
b,True,0.0
a,True,248.0
a,True,115.0
b,True,39.0
a,True,63.0
a,True,424.0
b,False,0.0
a,True,459.0
a,True,98.0
a,True,153.0
b,True,203.0
b,False,0.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,4.0
b,True,0.0
a,True,229.0
b,False,0.0
b,True,0.0
b,True,0.0
a,True,1108.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,71.0
a,True,722.0
b,True,0.0
a,True,432.0
a,True,487.0
a,True,514.0
a,True,91.0
b,True,0.0
a,True,31.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,25.0
b,True,432.0
a,True,72.0
b,False,0.0
b,True,0.0
b,True,23.0
a,True,438.0
b,True,0.0
b,True,0.0
b,False,0.0
a,True,25.0
b,True,0.0
b,True,0.0
b,False,0.0
b,True,126.0
a,True,19.0
b,True,0.0
a,True,1132.0
a,True,837.0
b,True,0.0
b,True,0.0
a,True,422.0
a,True,386.0
b,True,0.0
a,True,68.0
a,True,156.0
a,True,59.0
b,True,0.0
b,True,0.0
a,True,1924.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,156.0
b,False,0.0
b,True,0.0
b,True,3.0
a,True,561.0
b,True,85.0
b,True,0.0
a,True,430.0
a,True,471.0
b,True,367.0
b,True,444.0
b,True,0.0
a,True,42.0
a,True,90.0
b,True,429.0
a,True,45.0
b,True,0.0
b,True,91.0
a,True,125.0
b,True,440.0
b,False,0.0
a,True,142.0
b,True,4.0
a,True,123.0
a,True,255.0
a,True,436.0
a,True,228.0
b,True,146.0
b,True,0.0
b,True,0.0
a,True,37.0
b,True,0.0
a,True,582.0
b,True,0.0
a,True,19.0
a,True,83.0
a,True,25.0
b,True,379.0
b,True,123.0
b,True,431.0
a,True,116.0
b,True,33.0
a,True,151.0
b,False,1.0
a,True,546.0
b,True,0.0
b,True,49.0
b,True,0.0
a,True,86.0
b,True,0.0
a,True,948.0
b,True,0.0
b,False,0.0
a,True,231.0
a,True,104.0
b,True,0.0
a,True,470.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,752.0
b,False,0.0
a,True,85.0
b,True,0.0
a,True,369.0
a,True,231.0
b,False,0.0
b,True,431.0
a,True,137.0
b,True,245.0
b,True,0.0
b,False,0.0
b,True,430.0
a,True,15.0
b,True,0.0
a,True,66.0
b,True,0.0
a,True,46.0
a,True,35.0
a,True,115.0
b,True,0.0
a,True,395.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,27.0
b,True,0.0
a,True,10.0
b,True,440.0
b,True,431.0
a,True,34.0
b,True,0.0
a,True,198.0
b,True,0.0
a,True,18.0
b,True,0.0
a,True,99.0
a,True,196.0
b,True,85.0
a,True,36.0
b,True,0.0
b,True,431.0
b,True,22.0
b,True,4.0
b,True,0.0
a,True,109.0
a,True,63.0
b,True,67.0
b,True,0.0
b,True,0.0
a,True,96.0
b,True,105.0
b,True,0.0
a,True,501.0
a,True,107.0
a,True,4.0
b,False,0.0
b,True,0.0
b,False,0.0
b,True,0.0
a,True,23.0
a,True,42.0
b,True,0.0
b,False,0.0
b,False,0.0
a,True,14.0
b,True,0.0
a,True,37.0
a,True,428.0
b,False,0.0
b,True,0.0
a,True,627.0
b,True,428.0
b,True,0.0
b,False,0.0
b,True,0.0
a,True,22.0
a,True,460.0
a,True,65.0
a,True,161.0
b,False,0.0
b,False,15.0
a,True,57.0
b,True,0.0
a,True,114.0
a,True,37.0
b,True,93.0
a,True,60.0
a,True,133.0
b,False,0.0
a,True,350.0
b,True,0.0
b,True,0.0
a,True,88.0
a,True,101.0
b,True,0.0
b,True,0.0
b,False,0.0
a,True,536.0
b,True,0.0
b,False,0.0
a,True,440.0
a,True,197.0
a,True,9.0
b,True,49.0
a,True,33.0
a,True,325.0
b,True,39.0
b,True,0.0
a,True,357.0
a,True,48.0
b,True,0.0
a,True,442.0
b,True,0.0
a,True,52.0
a,True,2.0
b,True,559.0
b,False,0.0
a,True,162.0
b,True,0.0
a,True,84.0
b,True,0.0
b,True,0.0
a,True,419.0
b,False,0.0
b,True,433.0
a,True,7.0
b,True,0.0
a,True,425.0
b,True,0.0
a,True,1001.0
b,True,249.0
a,True,81.0
b,True,1127.0
b,True,0.0
b,True,13.0
a,True,51.0
b,True,426.0
b,True,257.0
a,True,770.0
b,True,0.0
b,True,0.0
a,True,15.0
b,True,0.0
a,True,169.0
a,True,46.0
b,True,0.0
b,True,0.0
a,True,400.0
a,True,99.0
a,True,445.0
b,False,0.0
b,True,0.0
b,True,0.0
b,True,58.0
b,False,0.0
a,True,438.0
b,False,0.0
b,True,0.0
a,True,76.0
b,True,441.0
b,True,0.0
a,True,14.0
a,True,32.0
a,True,9.0
a,True,31.0
b,True,0.0
a,True,34.0
a,True,462.0
